"","Fecha","Rival","Marcador_Colombia","Marcador_Rival","Resultado","Resultado_dummy"
"1","22 de marzo de 2019","Japón",1,0,"Gano",1
"2","26 de marzo de 2019","Corea del Sur",1,2,"Perdió",0
"3","3 de junio de 2019","Panamá",3,0,"Gano",1
"4","9 de junio de 2019","Perú",3,0,"Gano",1
"5","15 de junio de 2019","Argentina",2,0,"Gano",1
"6","19 de junio de 2019","Catar",1,0,"Gano",1
"7","23 de junio de 2019","Paraguay",1,0,"Gano",1
"8","15 de octubre de 2019","Argelia",0,3,"Perdió",0
"9","15 de noviembre de 2019","Perú",1,0,"Gano",1
"10","19 de noviembre de 2019","Ecuador",1,0,"Gano",1
"11","9 de octubre de 2020","Venezuela",3,0,"Gano",1
"12","13 de noviembre de 2020","Uruguay",0,3,"Perdió",0
"13","17 de noviembre de 2020","Ecuador",1,6,"Perdió",0
